top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2841 mohit.k+  20   0  162700    568      0 S   0.0   0.0   0:02.18 ibus-en+
   2913 mohit.k+  20   0  342184   1076    540 S   0.0   0.0   0:00.17 gsd-pri+
   2916 mohit.k+  20   0  678728    560      0 S   0.0   0.0   0:04.39 xdg-doc+
   3183 mohit.k+  20   0  872588   2092      0 S   0.0   0.0   0:13.12 xdg-des+
   3187 mohit.k+  20   0  490392   4132    292 S   0.0   0.0   0:16.47 xdg-des+
   5727 mohit.k+  20   0  499004   6884   1488 S   0.0   0.0   0:11.44 update-+
   8508 mohit.k+  20   0  206080    692    224 S   0.0   0.0   0:03.59 Socket +
   8568 mohit.k+  20   0 2441824  29700  14168 S   0.0   0.2   1:08.62 Privile+
   8612 mohit.k+  20   0 2432252  13736   5588 S   0.0   0.1   0:21.09 WebExte+
   8818 mohit.k+  20   0  326152    764    224 S   0.0   0.0   0:02.04 RDD Pro+
   8819 mohit.k+  20   0  326428    788    224 S   0.0   0.0   0:03.74 Utility+
   9123 mohit.k+  20   0 1005196   1876      0 S   0.0   0.0   0:03.76 seahorse
   9124 mohit.k+  20   0 1266024   3108      0 S   0.0   0.0   0:07.34 gnome-c+
   9589 mohit.k+  20   0  388228   1712    276 S   0.0   0.0   0:06.34 gvfsd-n+
   9603 mohit.k+  20   0  315116   1272    480 S   0.0   0.0   0:03.34 gvfsd-d+
   9713 mohit.k+  20   0  849556  22820   5992 S   0.0   0.1   1:51.96 gnome-t+
  20667 mohit.k+  20   0    6044    164      0 S   0.0   0.0   0:00.06 ssh-age+
  23406 mohit.k+  20   0  794188   3832      0 S   0.0   0.0   0:48.95 snap
  62395 mohit.k+  20   0       0      0      0 Z   0.0   0.0   0:00.02 nm-open+
 126328 mohit.k+  20   0  843384   7644    984 S   0.0   0.0   0:05.74 gvfsd-g+
 174781 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 uas
 226114 mohit.k+  20   0 1082908  59684   1128 S   0.0   0.4   1:39.94 gedit
 242353 root      20   0 1083144     32      0 S   0.0   0.0   0:00.21 docker-+
 242365 root      20   0 1156620      0      0 S   0.0   0.0   0:00.25 docker-+
 242378 root      20   0 1156620      0      0 S   0.0   0.0   0:00.26 docker-+
 242391 root      20   0 1156876      0      0 S   0.0   0.0   0:00.26 docker-+
 242404 root      20   0 1230864    804      0 S   0.0   0.0   0:01.19 docker-+
 242417 root      20   0  712200   1844      0 S   0.0   0.0   0:22.26 contain+
 242438 root      20   0   23012   5248   1540 S   0.0   0.0   0:18.51 systemd
 242754 root      19  -1   29188   9248   8348 S   0.0   0.1   0:02.44 systemd+
 242771 tcpdump   20   0    7008    404      0 S   0.0   0.0   0:00.01 dbus-da+
 242781 root      20   0 1343800  18124   1912 S   0.0   0.1   3:01.32 contain+
 242811 root      20   0   12184    500      0 S   0.0   0.0   0:00.08 sshd
 242988 root      20   0 2949940  75040  11640 S   0.0   0.5 158:27.48 dockerd
 247187 root      20   0  113380    152      0 S   0.0   0.0   0:16.78 contain+
 247189 root      20   0  113380      0      0 S   0.0   0.0   0:16.71 contain+
 247248 root      20   0  113124    500      0 S   0.0   0.0   0:15.10 contain+
 247295 root      20   0     972      4      0 S   0.0   0.0   0:00.11 pause
 247297 root      20   0     972      4      0 S   0.0   0.0   0:00.12 pause
 247325 root      20   0  113380    184      0 S   0.0   0.0   0:14.22 contain+
 247330 root      20   0     972      4      0 S   0.0   0.0   0:00.16 pause
 247420 root      20   0     972      4      0 S   0.0   0.0   0:00.22 pause
 247515 root      20   0  111972     48      0 S   0.0   0.0   0:20.07 contain+
 247535 root      20   0  113124    180      0 S   0.0   0.0   0:16.93 contain+
 247576 root      20   0  113380    352      0 S   0.0   0.0   0:15.85 contain+
 247590 root      20   0  111972    300      0 S   0.0   0.0   0:16.37 contain+
 247681 root      20   0  752048  24328   7420 S   0.0   0.1  12:52.99 kube-sc+
 248794 root      20   0  622796    376      0 S   0.0   0.0   0:00.20 docker-+
 248809 root      20   0  549064   1072      0 S   0.0   0.0   0:00.18 docker-+
 248823 root      20   0  111972    448      0 S   0.0   0.0   0:15.78 contain+
 248848 root      20   0  113380    216      0 S   0.0   0.0   0:16.16 contain+
 248874 root      20   0  111972    252      0 S   0.0   0.0   0:16.84 contain+
 248900 root      20   0     972      4      0 S   0.0   0.0   0:00.03 pause
 248908 root      20   0     972      4      0 S   0.0   0.0   0:00.04 pause
 248916 root      20   0     972      4      0 S   0.0   0.0   0:00.04 pause
 249096 root      20   0  113380      0      0 S   0.0   0.0   0:16.46 contain+
 249119 root      20   0     972      4      0 S   0.0   0.0   0:00.03 pause
 249154 root      20   0  113124    372      0 S   0.0   0.0   0:16.23 contain+
 249240 root      20   0  737616   5896      0 S   0.0   0.0   0:53.48 github-+
 249605 root      20   0  111780    156      0 S   0.0   0.0   0:16.24 contain+
 249647 root      20   0     972      4      0 S   0.0   0.0   0:00.04 pause
 249691 root      20   0  111972    108      0 S   0.0   0.0   0:17.13 contain+
 249721 root      20   0  113124    364      0 S   0.0   0.0   0:16.65 contain+
 249857 root      20   0     972      4      0 S   0.0   0.0   0:00.14 pause
 249865 root      20   0     972      4      0 S   0.0   0.0   0:00.04 pause
 249934 root      20   0  113124    332      0 S   0.0   0.0   0:16.17 contain+
 249956 root      20   0  111716    324      0 S   0.0   0.0   0:15.76 contain+
 250007 root      20   0  113380     88      0 S   0.0   0.0   0:15.83 contain+
 250063 root      20   0  113380    372      0 S   0.0   0.0   0:16.54 contain+
 250108 root      20   0     972      4      0 S   0.0   0.0   0:00.05 pause
 250141 root      20   0     972      4      0 S   0.0   0.0   0:00.07 pause
 250193 root      20   0     972      4      0 S   0.0   0.0   0:00.02 pause
 250275 root      20   0     972      4      0 S   0.0   0.0   0:00.08 pause
 250544 root      20   0  113380     36      0 S   0.0   0.0   0:16.68 contain+
 250610 root      20   0  746776  12276   1284 S   0.0   0.1  13:12.31 coredns
 250660 root      20   0  113380    412      0 S   0.0   0.0   0:16.36 contain+
